2016-12-28 08:52:59,695 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:53:17,698 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:53:35,697 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:53:53,698 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:54:11,697 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:54:29,700 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:54:47,699 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:55:05,699 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:55:23,699 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:55:41,699 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:55:59,701 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:56:17,697 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:56:35,699 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:56:53,696 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:57:11,713 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:57:29,712 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:57:47,713 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:58:05,713 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:58:23,713 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:58:41,715 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:58:59,716 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:59:17,715 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:59:35,714 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:59:53,718 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:00:11,716 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:00:29,717 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:00:47,716 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:01:05,716 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:01:23,715 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:01:41,717 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:01:59,715 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:02:17,718 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:02:35,718 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:02:53,719 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:03:11,720 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:03:29,718 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:03:47,718 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:04:05,720 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:04:23,722 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:04:41,722 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:04:59,722 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:05:17,722 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:05:35,724 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:05:53,725 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:06:11,725 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:06:29,724 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:06:47,739 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:07:05,738 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:07:23,725 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:07:41,728 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:07:59,732 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:08:17,727 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:08:35,732 [DEBUG] autotrader.py 65: Out of time, pass
